document;ARI;ARI.simple;Bormuth;Bormuth.GP;Coleman;Coleman.C2;Coleman.Liau;Coleman.Liau.grade;Coleman.Liau.short;Dale.Chall;Dale.Chall.old;Dale.Chall.PSK;Danielson.Bryan;Danielson.Bryan.2;Dickes.Steiwer;DRP;ELF;Farr.Jenkins.Paterson;Flesch;Flesch.PSK;Flesch.Kincaid;FOG;FOG.PSK;FOG.NRI;FORCAST;FORCAST.RGL;Fucks;Linsear.Write;LIW;nWS;nWS.2;nWS.3;nWS.4;RIX;Scrabble;SMOG;SMOG.C;SMOG.simple;SMOG.de;Spache;Spache.old;Strain;Traenkle.Bailer;Traenkle.Bailer.2;Wheeler.Smith;meanSentenceLength;meanWordSyllables
A Scandal in Bohemia;4.435710611402769;50.00114363779513;-2.137727996306914;25913066.469131134;58.14333795975017;60.36089521165856;61.79051658570438;6.133101293450654;6.133532269257458;41.36990138263476;6.5567138375505305;5.7046320747612365;4.697157572769454;89.39029960862833;-236.78399831583252;313.7727996306914;3.2466367713004485;-43.4373151990241;80.242220540046;4.905547314136815;5.277773106410702;8.019379499994296;4.178383927402184;636.8048430493274;8.768216516308119;8.075038167938931;53.24215246636771;3.6831091180866964;27.959621546654716;3.231183443859054;4.016616579169298;3.458620835472792;3.6945651890140234;1.9431988041853512;1.7271500463887093;8.610887964023345;8.583186267307699;8.255789035496974;3.255789035496975;4.025713559446863;4.552137079901122;5.200448430493274;-285.95392558949993;-204.21288587901924;32.46636771300449;12.923766816143498;1.3413139023826046
The Red-headed League;5.959119432923096;53.05487522948256;-2.778183872434828;56149703.371973865;58.258116883116884;58.19025974025972;60.48476467532468;6.4908825399023335;6.4915064935064954;40.08325513927609;6.56217228757281;5.783289005235602;4.930815485289143;89.81199802668972;-275.1869453171017;377.8183872434828;4.036649214659686;-46.68580842285986;77.09979839532197;5.148872885927336;6.5115160581129174;9.155889485732418;5.004411054327871;844.2905759162304;8.754870129870131;8.060357142857143;66.16753926701571;4.363001745200698;29.480632805240134;3.546336047460393;4.326640273339226;3.961730895718592;4.446034428050135;2.1535776614310644;1.7368727349681243;9.095434984004942;9.012766991455832;8.720359524453444;3.7203595244534444;4.3895331928106796;4.978842818612453;6.482722513089006;-323.77209120010883;-203.06481154329003;40.36649214659686;16.12565445026178;1.3400432900432901
A Case of Identity;7.046478958970816;55.208658243674535;-3.121270873249831;79053412.62599033;56.18532077609403;55.44866874380399;58.77472401926073;6.9594405198264795;6.960147287919558;39.211258781698874;6.5961268883424244;5.847888120262246;5.135605558417032;89.44686108249634;-301.07694539326343;412.12708732498305;4.75;-48.442232388679315;74.27931583395207;5.34014341166945;7.328524427821627;9.89680418402979;5.477683727251126;715.0310227272727;8.995892933012321;8.325482226313554;74.0530303030303;4.92929292929293;32.290516337428954;4.099415487261798;4.840896769779656;4.330158204370571;4.939296559133323;2.5782828282828283;1.7205590868703438;9.470822784763449;9.348832583720508;9.080271126331208;4.0802711263312075;4.632814422728917;5.258029932879282;7.237121212121212;-347.6010585153046;-206.31249567341743;47.5;17.83080808080808;1.3529245149412266
The Boscombe Valley Mystery;5.40722802720666;51.96287613258654;-2.608304003801953;46645112.07783287;59.67332853322361;59.966889528903494;61.45457461427691;6.225150737389669;6.225727216622094;40.85688784045523;6.488224877118485;5.709622348586296;4.826565779234349;90.02788717620996;-262.2864708150521;360.8304003801953;3.658805031446541;-45.81618308860537;79.11707539730288;5.0208934541253125;6.0215934876355135;8.908129263978864;4.800191495794147;845.3534591194968;8.590310635671672;7.879341699238839;62.2940251572327;4.270440251572327;29.04876381001916;3.374569025965876;4.189258810142075;3.867020651663413;4.28345843609579;2.1037735849056602;1.7359401460961;9.031807529536366;8.956069362475931;8.659355253630263;3.659355253630263;4.225042161394955;4.794493059895277;6.082075471698113;-310.26416102868546;-198.39389637008847;36.58805031446541;15.286163522012579;1.3262703147500514
The Five Orange Pips;5.685873394534497;52.50959381456474;-2.674306225566663;49971732.330887884;59.24405099150141;59.38225414811815;60.769454647241346;6.41287634883728;6.413473627411307;40.01904261787614;6.606646377956222;5.803710358729686;4.885727457267021;89.79852837469821;-269.7864649100392;367.4306225566663;3.7873684210526317;-46.146458684956016;77.89786749877527;5.093896486456936;6.2711832442295545;9.064595653439548;4.893320566114549;658.5691263157894;8.640226628895183;7.9342492917847025;63.99157894736841;4.404210526315788;30.02692822708329;3.448772330770268;4.253180481174608;3.94905101975903;4.387977039312162;2.2505263157894735;1.7357083951839023;9.123544938967726;9.037841097098351;8.747310583861674;3.7473105838616743;4.373642370515524;4.954855425816666;6.258947368421053;-316.99643298176886;-202.01485961688928;37.873684210526314;15.606315789473685;1.3368406852826116
The Man with the Twisted Lip;5.613631621536868;52.38621376781136;-2.7358217251477708;53653341.79846336;60.39289997858215;60.21962947097879;61.704910794602704;6.1565576226356775;6.1571642750053535;40.908470735378295;6.437411568058;5.6875873274966615;4.844153079586116;90.33114497205692;-269.22554941128664;373.5821725147771;3.7252559726962455;-46.4659886620561;80.10461864143502;4.982844454052836;6.045078284845875;8.742877025650998;4.870298425443251;830.6337201365188;8.50663953737417;7.787303491111587;64.53924914675768;3.774744027303754;29.771092756888255;3.249284858448396;4.074628664848463;3.675946907604219;4.164384288060747;2.204778156996587;1.7339607635206786;8.678661817403938;8.642951732160338;8.320768760694094;3.3207687606940937;4.377665470531434;4.9637105854678705;6.247269624573379;-317.8937670329536;-198.4989503533948;37.25255972696245;15.935153583617748;1.3068108802741487
The Adventure of the Blue Carbuncle;4.918963178294572;50.9874031007752;-2.4173115685245583;37096594.36851802;59.94673913043478;60.85637007077855;61.97815174418605;6.0816885094860424;6.08220930232558;41.346476238624874;6.468865335355577;5.673242450286485;4.748028318164581;89.97694181835419;-250.95037586112298;341.73115685245585;3.4003623188405796;-44.845671427367705;80.93373441186387;4.901073070441523;5.531496461071793;8.160026963262556;4.453544899629255;634.3266666666667;8.558518705763397;7.8443705763397364;58.37500000000001;3.4782608695652186;27.50320188742838;2.958475952140208;3.7682999325918427;3.413673306370071;3.778645163464779;1.8876811594202898;1.7277227722772277;8.456263369488248;8.447262025617928;8.107539184552492;3.1075391845524916;4.214288843950118;4.769782608695651;5.659782608695652;-299.2696093031682;-199.22142407355918;34.0036231884058;14.333333333333334;1.3162285136501517
The Adventure of the Speckled Band;6.077747564221347;53.28350278355954;-2.788627460362089;56855570.391316205;58.81974214343272;58.6704673650282;60.02579075342466;6.616643230398626;6.617272360999191;40.1739086635502;6.544258756597994;5.771205347689029;4.962003403214803;89.60929723821027;-277.3278650942479;378.8627460362089;3.977198697068404;-46.723229438930986;78.32466963439698;5.084011170066171;6.351534054967754;9.006028027203028;4.975007684268492;903.0151791530944;8.689564867042709;7.988521353746979;66.67915309446254;4.1042345276872965;30.260839608700557;3.5366822858785216;4.332838371256763;3.846094739978004;4.34284467291535;2.278501628664495;1.7203493492513944;8.915800761256428;8.852911099599696;8.548131122968773;3.5481311229687718;4.363198578954138;4.951840028662396;6.427524429967427;-325.5034555551567;-203.6765161049557;39.77198697068403;16.169381107491855;1.3250402900886382
The Adventure of the Engineer's Thumb;6.160237821187458;53.456307286586195;-2.854998650699102;60777267.469725676;58.81910695123405;58.4811434362704;60.28782619530226;6.544844471182397;6.545487063312265;41.47371480187279;6.306058273631201;5.604906657096801;4.964044477203288;89.82286625158918;-280.5911842883395;385.4998650699102;4.061023622047244;-47.06880564573595;77.70789019306223;5.125085480951492;6.522142505414738;9.23181348337181;5.088655276751985;781.8094783464567;8.689638726600691;7.98860259926076;67.7755905511811;4.338582677165354;31.37809099947519;3.630806346529921;4.428538557000007;3.9773244992249914;4.494737435419832;2.454724409448819;1.7225147644953889;9.078715214514919;8.997860353859933;8.704329064731464;3.704329064731465;4.341274228535163;4.933645873253413;6.578740157480314;-328.90650261570914;-203.3149970907357;40.610236220472444;16.50984251968504;1.3282460951472517
The Adventure of the Noble Bachelor;5.627185659150925;52.37908795449929;-2.594556173361133;45774251.4267519;55.961334552102386;56.68741620962827;60.28613875685559;6.545306836066537;6.545886654478977;39.587131322364414;6.705241336583384;5.8662258175909;4.894529113169727;89.4514866460805;-265.847396352296;359.4556173361133;4.074074074074074;-45.76909968515133;76.2617796567134;5.172329544992891;6.397064290067032;9.012573633963031;4.810231702843794;713.3226388888888;9.021937842778794;8.354131627056672;62.77777777777778;4.459259259259259;30.234054438350597;3.685929148892951;4.418601960186878;3.954091697135892;4.355914401787528;2.285185185185185;1.7103209788969675;9.160891230177356;9.071177910801815;8.783117190965825;3.7831171909658243;4.372384572415194;4.947729890310786;6.204444444444444;-313.5707866341662;-203.52911706276663;40.74074074074075;15.194444444444445;1.361121267519805
The Adventure of the Beryl Coronet;5.226622078427582;51.63307244794265;-2.670782905809808;50005799.65180323;61.200654129190525;61.12767784137367;62.90418127555193;5.827952713773666;5.828536385936218;42.92340486782881;6.1224088153312834;5.450040521004496;4.753512367218481;90.80748974634554;-260.62698192772206;367.0782905809808;3.5559105431309903;-46.14562924602728;81.18312443344944;4.917742774798262;5.818688933356672;8.426736746961199;4.740345710039994;846.2382747603833;8.412714636140638;7.683986099754701;62.52396166134185;3.3993610223642174;28.395132954892777;2.946109607000018;3.7800591144438727;3.4741154689536806;3.9502027502684167;1.9952076677316295;1.7267052141431716;8.395496886499743;8.394015468911935;8.049277935282593;3.049277935282592;4.1023233524643485;4.670626665691394;6.08482428115016;-307.7318397098608;-189.71928315617336;35.5591054313099;15.629392971246006;1.2977309893704005
The Adventure of the Copper Beeches;5.8059780177274725;52.76309724238584;-2.7792121992091294;56288306.99415633;59.21849233220475;59.04302927703644;61.2179614220275;6.289983698518775;6.29060346544513;41.555141851170426;6.316289993666472;5.603876094550797;4.885681663027247;90.1610245272838;-272.2832175427743;377.92121992091296;3.9212218649517685;-46.6932299189065;78.12272178394154;5.094299437475144;6.373568888481884;9.027087134357243;4.975975125084036;913.2583922829583;8.643198566022704;7.937518422624974;65.68810289389067;4.147909967845658;29.94672600159715;3.4277647643242437;4.228135907772565;3.864306113103102;4.357508462271962;2.2282958199356915;1.7165800313848567;8.946509030623684;8.8801907455554;8.577573375478124;3.577573375478125;4.287293937808471;4.871884701616555;6.430707395498392;-320.74841324493076;-198.56721872336192;39.21221864951768;16.144694533762056;1.3277235610436169
